,Northwest,Northeast,Southwest,Southeast,,,,
Population,"17,315",183103,147752,"173,430",,,,
% White,83,55,64,90,,,,
% Black,7,15,33,3.5,,,,
% Native American,1,2,0,1,,,,
% Asian/Pacific Islander,2,8,1,2,,,,
% Latino(a),7,20,2,3.5,,,,
% Male,49,50,48,49,,,,
% Female,51,50,52,51,,,,
% Naturalized Immigrant,2,3,1,1.5,,,,
% Immigrant Non-citizen,1.5,3.5,1,1.5,,,,
Avg. Age,46,43,45,40,,,,
% w/ Disability,16,12,15,12,,,,
% New Resident,5,3.5,3,5.5,,,,
% English as Second Language,2.5,7,1,1.5,,,,
People per Sq. Mile,650,1145,510,570,,,,
Avg. Family Size,1.67,2.5,3.2,3.4,,,,
% HH Multi-Generation,50,49,42,35,,,,
% HH Single Adults,25,23,27,22,,,,
% HH has children < 18,23,22,23,28,,,,
# of children if > 0,1,1,1,3,,,,
% HH with child < age 5,4,5,4,6,,,,
Pre-School Children (%),0.75,0.7,0.43,2,,,,
Kindergarten Children (%),1,1,1,2,,,,
Elementary School Children (%),3,4,3,3,,,,
Middles School Children (%),3.5,3.5,3.1,6,,,,
High School Children (%),4.1,4.3,3.5,7,,,,
College Students (%),8,9,7,5,,,,
Graduate Students (%),1,1,1,1,,,,
,,,,,,,,
,,,,,,,,
